,current_close,prev_expiry_close,prev_expiry_high,prev_expiry_low,current_oi,prev_expiry_oi,current_basis,prev_expiry_basis,price_change,oi_pct_change,basis_change,expiry_signal
OBEROIRLTY,1767.9,1723.15,1874.3,1705.1,8208900.0,8277500.0,0.66,0.64,2.6,-0.83,0.02,price above close
OFSS,10981.6,10803.95,11378.3,9834.7,1248200.0,1434900.0,0.49,0.89,1.64,-13.01,-0.4,price above close
ONGC,327.9,329.6,341.4,305.35,124899775.0,124957525.0,0.64,0.76,-0.52,-0.05,-0.12,price below close
PAGEIND,42060.2,41765.8,42565.15,40007.75,183630.0,184320.0,0.43,0.47,0.7,-0.37,-0.05,price above close
PEL,1063.15,1055.7,1084.9,884.25,9094500.0,10287000.0,0.63,0.3,0.71,-11.59,0.32,price above close
PERSISTENT,5230.3,5077.95,5077.95,4520.9,2077200.0,2616600.0,0.52,0.73,3.0,-20.61,-0.2,price above high
PETRONET,367.5,365.55,380.9,356.8,31092000.0,31560000.0,0.51,0.79,0.53,-1.48,-0.28,price above close
PFC,550.05,554.45,558.85,475.4,46868900.0,51729600.0,0.64,0.17,-0.79,-9.4,0.47,price below close
PIDILITIND,3181.3,3080.9,3200.65,3037.6,2739500.0,2795250.0,0.72,0.8,3.26,-1.99,-0.08,price above close
PIIND,4596.75,4463.4,4496.2,4008.1,1669500.0,1836500.0,0.51,0.46,2.99,-9.09,0.05,price above high
PNB,117.11,115.53,127.89,113.27,275368000.0,292432000.0,0.62,0.7,1.37,-5.84,-0.08,price above close
POLYCAB,6757.0,6743.55,6889.55,6421.45,2689125.0,2908125.0,0.69,0.58,0.2,-7.53,0.11,price above close
POWERGRID,337.5,333.3,360.15,332.0,82306800.0,85150800.0,0.69,0.64,1.26,-3.34,0.04,price above close
PVRINOX,,,,,,,,,,,,-
RAMCOCEM,836.6,820.75,835.55,785.0,11015150.0,12348800.0,0.65,0.82,1.93,-10.8,-0.16,price above high
RBLBANK,229.09,226.78,238.9,207.51,78252500.0,79265000.0,0.66,0.85,1.02,-1.28,-0.19,price above close
RECLTD,620.8,626.25,643.8,565.15,49890000.0,54634000.0,0.7,0.8,-0.87,-8.68,-0.1,price below close
RELIANCE,3042.15,3041.85,3044.35,2893.25,51533750.0,51271750.0,0.43,0.55,0.01,0.51,-0.12,price above close
SAIL,132.6,134.25,153.94,125.3,151120000.0,150968000.0,-0.31,0.02,-1.23,0.1,-0.34,price below close
SBICARD,747.7,721.2,738.55,687.15,19739200.0,22392800.0,0.41,0.25,3.67,-11.85,0.16,price above high
SBILIFE,1892.05,1843.7,1843.7,1676.6,6181500.0,7294125.0,0.26,0.55,2.62,-15.25,-0.29,price above high
SBIN,825.95,814.5,878.85,800.1,95718750.0,104790750.0,0.58,0.58,1.41,-8.66,-0.0,price above close
SHREECEM,25496.8,24821.35,27838.5,24241.8,232550.0,301675.0,0.37,0.63,2.72,-22.91,-0.26,price above close
SHRIRAMFIN,3235.25,3200.5,3227.6,2679.0,5506500.0,6163800.0,0.41,0.75,1.09,-10.66,-0.34,price above high
SIEMENS,6819.55,6869.3,7211.2,6622.1,2369550.0,2225400.0,0.7,0.81,-0.72,6.48,-0.11,price below close
SRF,2599.55,2540.35,2663.95,2399.8,5709000.0,5548125.0,0.44,0.5,2.33,2.9,-0.06,price above close
SUNPHARMA,1819.2,1799.2,1799.2,1665.8,13703200.0,19888750.0,0.29,0.54,1.11,-31.1,-0.25,price above high
SUNTV,812.35,809.9,912.2,769.8,5680500.0,7975500.0,0.32,0.81,0.3,-28.78,-0.49,price above close
SYNGENE,868.95,853.8,853.8,783.15,5580000.0,5391000.0,0.15,0.45,1.77,3.51,-0.3,price above high
TATACHEM,1090.4,1073.25,1127.7,1020.1,9040350.0,9226250.0,0.64,0.69,1.6,-2.01,-0.05,price above close
TATACOMM,1971.55,1933.05,2002.05,1831.35,6289000.0,6290000.0,0.43,0.88,1.99,-0.02,-0.45,price above close
TATACONSUM,1206.75,1198.45,1223.6,1171.8,12411864.0,12163344.0,0.68,0.56,0.69,2.04,0.12,price above close
TATAMOTORS,1089.8,1121.6,1160.85,1014.25,87254750.0,91014000.0,-0.16,-1.49,-2.84,-4.13,1.32,price below close
TATAPOWER,434.6,430.9,467.15,405.85,84161700.0,91948500.0,0.43,0.78,0.86,-8.47,-0.36,price above close
TATASTEEL,153.48,152.97,166.33,146.28,289052500.0,300454000.0,0.51,0.78,0.33,-3.79,-0.27,price above close
TCS,4544.85,4511.8,4550.0,4179.4,13860875.0,14839475.0,0.55,0.68,0.73,-6.59,-0.13,price above close
TECHM,1656.0,1647.35,1647.35,1460.55,12180000.0,12735600.0,0.66,0.53,0.53,-4.36,0.13,price above high
TITAN,3598.65,3533.25,3636.5,3303.3,9039975.0,9603475.0,0.42,0.73,1.85,-5.87,-0.31,price above close
TORNTPHARM,3447.95,3434.55,3434.55,3085.25,1845500.0,2227750.0,0.56,0.37,0.39,-17.16,0.19,price above high
TRENT,7188.8,7170.6,7170.6,5238.05,3196400.0,3346200.0,0.66,0.78,0.25,-4.48,-0.12,price above high
TVSMOTOR,2807.4,2751.6,2781.55,2449.3,6967100.0,6901300.0,0.7,0.7,2.03,0.95,-0.01,price above high
UBL,2041.2,2034.55,2109.15,1896.95,1757600.0,2024000.0,0.51,0.6,0.33,-13.16,-0.09,price above close
ULTRACEMCO,11468.15,11222.0,11983.3,11038.4,2212300.0,2489500.0,0.47,0.75,2.19,-11.13,-0.28,price above close
UNITDSPR,,,,,,,,,,,,-
UPL,602.8,577.8,582.25,529.45,37960000.0,38630800.0,0.65,0.83,4.33,-1.74,-0.19,price above high
VEDL,464.8,463.4,464.15,415.2,139028100.0,150383200.0,0.45,0.6,0.3,-7.55,-0.16,price above high
VOLTAS,1767.55,1788.5,1788.5,1436.15,8562600.0,10183800.0,-0.16,-1.7,-1.17,-15.92,1.54,price below close
WIPRO,535.6,538.7,538.7,487.85,51793500.0,58189500.0,0.69,0.78,-0.58,-10.99,-0.09,price below close
ZYDUSLIFE,1117.55,1132.05,1307.35,1109.4,18241200.0,19427400.0,0.65,0.38,-1.28,-6.11,0.27,price below close
